@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2018/07/08 23:41:37:172',1,-0.54403,0.60274,-0.14543,-0.023398,-0.13771,0.60137,2.192,0.20804,-0.51536,-0.23101,-0.80387,0.56901,-5.0234,0.26507,0.47891,-0.59854,0.56132,-1.0905,-0.52587,0.12506,-0.22624,0.24529,-0.45767,0.92619,0.022125,0.895,0.787109,0
2,'2018/07/08 23:41:41:691',1,-1.484,0.89623,0.40684,0.17774,-0.18277,0.19872,2.3773,0.48527,-0.42055,0.48673,-0.93276,0.49597,-3.6331,0.74771,0.4535,-0.8047,0.70003,-1.0404,-0.92182,0.040901,-0.38105,-0.38305,-0.37806,0.90019,0.37246,0.895,0.787109,0
3,'2018/07/08 23:41:42:999',1,-0.77069,0.12827,0.33137,0.005089,-0.47605,-0.50116,1.858,1.0624,-0.56511,0.13328,-0.41918,-0.14195,-2.8555,-0.57131,-0.13418,-0.44922,0.48591,-0.6479,-0.84238,0.61669,-0.19824,-0.57967,-0.65885,0.43928,-0.50473,0.895,0.787109,0
4,'2018/07/08 23:41:55:844',2,0.41388,0.022308,0.056536,-0.010503,0.27395,0.71342,1.6414,-0.11188,-0.26249,0.10783,-0.95191,0.40414,-4.6303,-0.18866,0.60344,0.24891,0.36794,-0.50313,-0.48655,-0.21142,0.38759,1.0411,0.42695,0.2866,0.02321,0.7,0.064453,0
5,'2018/07/08 23:41:57:599',2,-1.1542,0.55981,0.8772,-0.24344,-0.29958,0.31151,2.2177,0.28029,-0.59417,-0.19355,-0.84282,0.30594,-4.3148,0.63092,0.51239,-0.073183,0.31922,-0.95279,-1.0489,0.099902,-0.69873,-0.31793,0.19537,0.48422,0.9104,0.7,0.064453,0
6,'2018/07/08 23:41:59:399',2,-0.70526,0.29123,0.46452,0.52806,-0.90914,-0.29149,2.0344,0.28985,-0.57797,0.061531,-0.68173,0.56481,-2.594,0.27207,0.29525,0.076975,-0.080718,-0.23653,-0.21195,-0.38714,-0.6333,0.033109,-0.20176,-0.024211,-0.33617,0.7,0.064453,0
7,'2018/07/08 23:42:24:173',3,-0.83439,0.020721,-0.055549,-0.91512,-0.21836,-0.14669,1.6615,-0.57733,-0.37446,-0.18012,-0.38678,0.57408,-5.0729,0.88145,0.89218,-0.35918,0.12836,-0.83617,-0.6628,-0.40042,-0.53151,-0.57621,0.02228,0.45211,0.16675,0.235518,0.650999,0.438682
8,'2018/07/08 23:42:30:089',3,0.099185,0.28333,0.62799,-0.46388,-0.094643,0.39536,1.8956,0.15325,0.39469,-0.03058,-0.98644,-0.24421,-4.6944,0.34421,0.46324,0.042716,-0.050703,-0.99004,-0.57449,-0.90413,-0.57818,0.14189,0.17403,0.44834,-0.021622,0.235518,0.650999,0.438682
9,'2018/07/08 23:42:46:943',4,-1.5226,-0.68566,1.1082,0.63482,-0.11657,0.46269,1.1379,-1.1312,0.665,0.14649,0.31165,-0.01846,-3.5233,0.18662,-0.54836,-0.54557,0.74326,0.13081,0.011478,0.33892,-0.54205,-0.10345,0.34124,0.08645,0.53662,0.185075,0.392305,0.988643
10,'2018/07/08 23:42:52:365',4,-1.0882,-0.7826,0.71037,0.71975,-0.41559,0.37467,0.45186,-0.077761,0.73244,-0.90019,0.83386,0.36956,-3.3093,-0.14613,-0.14833,-0.15206,0.12059,0.50777,0.21264,0.47867,-0.57955,0.22218,0.11746,-0.40922,0.25574,0.185075,0.392305,0.988643
11,'2018/07/08 23:43:22:088',5,-0.11048,0.13274,-0.34893,0.48077,0.17184,0.21367,1.9979,-0.065145,-0.45437,-0.008929,-0.91636,0.49681,-5.0971,0.38244,-0.085692,0.54055,-0.12858,-0.079061,0.4292,-0.12321,-0.13697,-0.19238,-0.25163,0.45215,0.051584,0.77,1,0.56
12,'2018/07/08 23:43:33:024',5,-0.37591,0.61459,-0.56505,-0.18551,-0.1482,0.00086,-0.57406,-1.9796,0.51076,-0.60595,-0.75346,0.57406,0.1388,-0.23229,0.40189,0.7029,0.58766,0.327,1.3011,0.006458,0.78286,0.82794,-0.44155,0.12839,-0.59349,0.77,1,0.56
13,'2018/07/08 23:43:42:001',5,-1.3575,-1.0353,-1.6156,0.64179,0.59131,0.21672,-0.42509,-0.68288,0.25102,-1.1137,0.62873,-0.51024,-1.1821,1.5072,0.68792,0.8129,-0.030339,1.4508,1.9131,-0.082959,-0.34016,1.7313,-0.9526,-0.12346,-1.0175,0.77,1,0.56
